MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition			9+1rostarthyst			Time:	51.821148	Sec
Time	Torsional Torque	Torsional Rotation
Sec	in-kip	deg
41.797657	-0.34675413	-1.4053774
41.807652	-0.2954329	-1.2073885
41.817646	-0.24343643	-0.96362191
41.827641	-0.19076468	-0.70497757
41.837635	-0.1002773	-0.41772211
41.84763	0.10028054	-8.3544418e-002
41.857624	0.42642274	0.25661185
41.867619	0.51388419	0.61632669
41.877613	0.59192675	1.0161371
41.887608	0.70629942	1.4125108
41.897602	0.84085548	1.8237771
41.907597	0.98213941	2.2545183
41.917591	1.130151	2.6795318
41.927586	1.3124746	3.1297481
41.93758	1.510272	3.5742364
41.947575	1.7242162	4.0508013
41.957569	1.9482521	4.517056
41.967564	2.1729608	4.9741459
41.977558	2.4057429	5.4518561
41.987553	2.6358335	5.9100914
41.997547	2.8632336	6.3889475
42.007542	3.0899603	6.8426008
42.017536	3.3126507	7.3008361
42.027531	3.5494695	7.7441788
42.037525	3.7661047	8.168047
42.04752	3.9854312	8.5919142
42.057514	4.1872654	9.0169277
42.067509	4.387754	9.4029913
42.077503	4.5774779	9.7798901
42.087498	4.7651839	10.147624
42.097492	4.9401069	10.485573
42.107487	5.1251216	10.81321
42.117481	5.2771697	11.115646
42.127476	5.4076891	11.379131
42.13747	5.5469542	11.635743
42.147465	5.6714191	11.875172
42.157459	5.7730088	12.082523
42.167454	5.8725801	12.248633
42.177448	5.9506226	12.396414
42.187443	6.0219374	12.518992
42.197437	6.0616312	12.599183
42.207432	6.0966163	12.663337
42.217426	6.1167994	12.713742
42.227421	6.0831609	12.720615
42.237415	5.8725801	12.71947
42.24741	5.7279325	12.681665
42.257404	5.6821837	12.617513
42.267399	5.6377797	12.527011
42.277393	5.5731931	12.400996
42.287388	5.499187	12.266963
42.297382	5.419126	12.093979
42.307377	5.3202271	11.900374
42.317371	5.2098918	11.676985
42.327366	5.0793719	11.430683
42.33736	4.9347243	11.151159
42.347355	4.7894034	10.863617
42.357349	4.6171722	10.532541
42.367344	4.4503222	10.173972
42.377338	4.2605982	9.7947826
42.387333	4.0628009	9.3984089
42.397327	3.8589485	9.0100546
42.407322	3.6429858	8.5609837
42.417316	3.4216411	8.1187868
42.427311	3.1895318	7.6605511
42.437305	2.9762604	7.20117
42.4473	2.7495337	6.7337699
42.457294	2.5127149	6.2789712
42.467289	2.2906973	5.8092799
42.477283	2.0599337	5.3361516
42.487278	1.8278244	4.8676062
42.497272	1.6118618	4.4173899
42.507267	1.405991	3.9534264
42.517262	1.1907014	3.5009189
42.527256	0.98819441	3.0667408
42.537251	0.8031798	2.6233978
42.547245	0.61681962	2.1915109
42.55724	0.46275291	1.7745167
42.567234	0.34338093	1.3689784
42.577229	0.25154302	0.99093413
42.587223	0.17793761	0.62892812
42.597218	8.7450229e-002	0.30358097
42.607212	-7.2590865e-002	-2.1744438e-002
42.617207	-0.33324853	-0.32616657
42.627201	-0.55136365	-0.59282207
42.637196	-0.61686569	-0.85261089
42.64719	-0.66143411	-1.0860775
42.657185	-0.69452274	-1.2909329
42.667179	-0.73503947	-1.4763329
42.677174	-0.76812816	-1.6365551
42.687168	-0.80324268	-1.7555772
42.697163	-0.83025378	-1.8482772
42.707157	-0.84510994	-1.9318217
42.717152	-0.8599661	-1.9970549
42.727146	-0.86469305	-2.0130773
42.737141	-0.80459327	-2.0130773
42.747135	-0.60336012	-1.9913328
42.75713	-0.55744112	-1.9466994
42.767124	-0.52165139	-1.8654439
42.777119	-0.4656032	-1.7727439
42.787113	-0.40685394	-1.6273996
42.797108	-0.34472829	-1.443144
42.807102	-0.29340705	-1.2211219
42.817097	-0.24816339	-0.97506636
42.827091	-0.19143996	-0.70039982
42.837086	-0.10297842	-0.40284434
42.84708	9.6904144e-002	-0.10071108
42.857075	0.42776832	0.23026331
42.867069	0.50715643	0.59914285
42.877064	0.58856285	0.98062384
42.887058	0.70495391	1.3724152
42.897053	0.81999934	1.7939918
42.907047	0.9673382	2.2247331
42.917042	1.1308239	2.664639
42.927036	1.3070924	3.1102731
42.937031	1.5109447	3.569654
42.947025	1.7275801	4.0336175
42.95702	1.9307598	4.4952898
42.967014	2.1621964	4.9638352
42.977009	2.3969965	5.4266534
42.987003	2.6230509	5.8837433
42.996998	2.8605423	6.3648901
43.006992	3.0859237	6.833436
43.016987	3.3126507	7.2870889
43.026981	3.5373592	7.730432
43.036976	3.7539947	8.1611729
43.04697	3.9672661	8.5667114
43.056965	4.1805377	8.9791231
43.066959	4.3769894	9.3823709
43.076954	4.5808415	9.7638521
43.086948	4.7564373	10.123567
43.096943	4.9145408	10.453496
43.106937	5.1009011	10.784571
43.116932	5.257659	11.077842
43.126926	5.3969245	11.360803
43.136921	5.53619	11.619705
43.146915	5.6559448	11.85226
43.15691	5.7635903	12.05732
43.166904	5.8537426	12.231449
43.176899	5.9398584	12.374648
43.186893	6.0051179	12.49608
43.196888	6.060286	12.593455
43.206882	6.1026711	12.664482
43.216877	6.1174726	12.70114
43.226871	6.1235271	12.725198
43.236866	5.8873816	12.71947
43.246861	5.7245688	12.687394
43.256855	5.6821837	12.61064
43.26685	5.6330705	12.510973
43.276844	5.5664649	12.391832
43.286839	5.5012054	12.250924
43.296833	5.4117255	12.091688
43.306828	5.3141727	11.909539
43.316822	5.2072005	11.689586
43.326817	5.0867729	11.440993
43.336811	4.9481802	11.186673
43.346806	4.7994957	10.884237
43.3568	4.636683	10.555453
43.366795	4.4523406	10.195739
43.376789	4.2552161	9.8108206
43.386784	4.0654922	9.4121561
43.396778	3.8623123	9.0020351
43.406773	3.6611509	8.5884781
43.416767	3.4424975	8.1611729
43.426762	3.2124064	7.6846085
43.436756	2.9890435	7.2378287
43.446751	2.7629893	6.7784476
43.456745	2.5201154	6.2915726
43.46674	2.3014619	5.8058429
43.476734	2.0754075	5.3556266
43.486729	1.8432983	4.9042649
43.496723	1.6138802	4.4265542
43.506718	1.4026271	3.948844
43.516712	1.1732091	3.4974821
43.526707	0.9848305	3.0541391
43.536701	0.79241532	2.6165245
43.546696	0.62758416	2.1926565
43.55669	0.46477124	1.7790991
43.566685	0.34675732	1.3689784
43.576679	0.24816662	0.98864299
43.586674	0.17253539	0.61861783
43.596668	7.6645769e-002	0.26692215
43.606663	-5.5708896e-002	-4.5777764e-002
43.616657	-0.32717103	-0.32273322
43.626652	-0.54393554	-0.60426646
43.636646	-0.62564433	-0.86062199
43.646641	-0.66008353	-1.0872219
43.656635	-0.70195079	-1.2966552
43.66663	-0.73706532	-1.4797662
43.676624	-0.77082926	-1.6399884
43.686619	-0.80594379	-1.7715995
43.696613	-0.83498073	-1.8860439
43.706608	-0.8599661	-1.9661549
43.716602	-0.86941999	-2.0050662
43.726597	-0.87144583	-2.0268104
43.736591	-0.757999	-2.0359662
43.746586	-0.60876232	-2.0107882
43.75658	-0.56621975	-1.9615772
43.766575	-0.52232665	-1.8894773
43.776569	-0.46627849	-1.7532884
43.786564	-0.39807531	-1.6022217
43.796558	-0.344053	-1.4145329
43.806553	-0.27787566	-1.1959441
43.816547	-0.24276115	-0.95217752
43.826542	-0.18603773	-0.69009978
43.836536	-8.2044773e-002	-0.39368877
43.846531	9.757942e-002	-8.1255533e-002
43.856525	0.42709556	0.24744713
43.86652	0.51657534	0.6060164
43.876514	0.60000008	0.98978853
43.886509	0.71370006	1.4022005
43.896503	0.83143657	1.8180491
43.906498	0.97137487	2.2613919
43.916492	1.130151	2.6886964
43.926487	1.3084379	3.1320393
43.936481	1.5210365	3.5834012
43.946476	1.7343079	4.0370541
43.95647	1.9428698	4.4884162
43.966465	2.1581595	4.9649811
43.97646	2.3889232	5.4323812
43.986454	2.6250691	5.9204021
43.996449	2.8598695	6.3900933
44.006443	3.0919785	6.8368726
44.016438	3.3240879	7.2928171
44.026432	3.5528333	7.7533436
44.036427	3.7708142	8.1795025
44.046421	3.9733212	8.604516
44.056416	4.1825562	9.0054722
44.06641	4.3830442	9.3949718
44.076405	4.5828605	9.7787447
44.086399	4.7712388	10.128149
44.096394	4.9327059	10.469534
44.106388	5.1083016	10.794882
44.116383	5.2650595	11.111064
44.126377	5.402307	11.380278
44.136372	5.5442634	11.626578
44.146366	5.6687279	11.866007
44.156361	5.7689724	12.072213
44.166355	5.8698893	12.240614
44.17635	5.9418769	12.392978
44.186344	6.006464	12.520138
44.196339	6.0629768	12.61293
44.206333	6.1073809	12.679375
44.216328	6.1410193	12.722907
44.226322	6.1067076	12.743527
44.236317	5.8544149	12.732072
44.246311	5.7319689	12.691977
44.256306	5.6848745	12.622095
44.2663	5.6357617	12.530448
44.276295	5.5772295	12.40787
44.286289	5.5032239	12.262381
44.296284	5.4238358	12.108871
44.306278	5.3209004	11.908394
44.316273	5.2072005	11.695314
44.326267	5.0847545	11.450158
44.336262	4.9448161	11.178654
44.346256	4.7968044	10.879655
44.356251	4.6400466	10.555453
44.366245	4.4624324	10.196884
44.37624	4.2585802	9.8165483
44.386234	4.0580916	9.4075737
44.396229	3.854239	8.9963074
44.406223	3.6530776	8.5861864
44.416218	3.4324057	8.1336794
44.426212	3.2063515	7.676589
44.436207	2.9769332	7.2137713
44.446201	2.7434785	6.7509537
44.456196	2.5194426	6.2938638
44.46619	2.2994435	5.8333373
44.476185	2.068007	5.3498988
44.486179	1.837916	4.8676062
44.496174	1.6098435	4.4036427
44.506168	1.3918628	3.9476984
44.516163	1.1678269	3.4825892
44.526157	0.96195596	3.0369554
44.536152	0.78501475	2.6107965
44.546146	0.62354743	2.1823463
44.556141	0.46544406	1.7573329
44.566135	0.35891235	1.3747063
44.57613	0.24141383	0.99093413
44.586124	0.17388594	0.61632669
44.596119	6.584131e-002	0.28181478
44.606113	-6.2461685e-002	-6.1799981e-002
44.616108	-0.42035952	-0.35363322
44.626102	-0.54528612	-0.62829983
44.636097	-0.61821622	-0.88808864
44.646091	-0.6654858	-1.1215552
44.656086	-0.71275526	-1.3229774
44.66608	-0.7384159	-1.4889218
44.676075	-0.77623153	-1.6502883
44.686069	-0.80932021	-1.7887661
44.696064	-0.8336302	-1.8974884
44.706059	-0.85861552	-1.9718772
44.716053	-0.87752336	-2.0233772
44.726048	-0.8721211	-2.050844
44.736042	-0.71950805	-2.0416882
44.746037	-0.60943764	-2.0222328
44.756031	-0.56486923	-1.9695883
44.766026	-0.51895022	-1.8826106
44.77602	-0.46830431	-1.7750328
44.786015	-0.41158089	-1.628544
44.796009	-0.35080579	-1.4362774
44.806004	-0.28868014	-1.2016664
44.815998	-0.24546227	-0.96247751
44.825993	-0.18468717	-0.69009978
44.835987	-7.6642543e-002	-0.39826655
44.845982	0.1016311	-7.7822201e-002
44.855976	0.4250772	0.24859272
44.865971	0.51388419	0.61403549
44.875965	0.59058118	0.98749739
44.88596	0.70899057	1.3747063
44.895954	0.83345491	1.8077388
44.905949	0.97608435	2.2338977
44.915943	1.1220777	2.664639
44.925938	1.3037283	3.1171465
44.935932	1.5055625	3.5914202
44.945927	1.7242162	4.0416365
44.955921	1.9529616	4.4998722
44.965916	2.1716151	4.961544
44.97591	2.3943055	5.4335265
44.985905	2.6277602	5.9032183
44.995899	2.8484321	6.3625989
45.005894	3.0812142	6.8288536
45.015888	3.3139963	7.2928171
45.025883	3.5461056	7.7281408
45.035877	3.7701414	8.1646099
45.045872	3.9827399	8.601079
45.055866	4.1771736	9.0008898
45.065861	4.3837171	9.3995543
45.075855	4.5842056	9.7890549
45.08585	4.7712388	10.151061
45.095844	4.9454889	10.492446
45.105839	5.1244483	10.81321
45.115833	5.270442	11.124811
45.125828	5.4049978	11.386005
45.135822	5.5388813	11.646053
45.145817	5.6646914	11.888919
45.155811	5.7844458	12.084814
45.165806	5.8772898	12.269254
45.1758	5.9667692	12.414743
45.185795	6.023283	12.537322
45.195789	6.0730691	12.63126
45.205784	6.116127	12.696559
45.215778	6.130928	12.72978
45.225773	6.0845065	12.741237
45.235767	5.9257298	12.72978
45.245762	5.7447519	12.711452
45.255756	5.6942935	12.636988
45.265751	5.6431623	12.537322
45.275745	5.5738659	12.423908
45.28574	5.5106244	12.279564
45.295734	5.4278722	12.107726
45.305729	5.3269553	11.915267
45.315723	5.2125826	11.69646
45.325718	5.0854273	11.453595
45.335712	4.9441433	11.178654
45.345707	4.800168	10.900275
45.355701	4.6400466	10.573783
45.365696	4.4711785	10.202612
45.37569	4.2794361	9.8280048
45.385685	4.0789475	9.4362135
45.395679	3.8602941	9.0169277
45.405674	3.652405	8.5884781
45.415668	3.4337511	8.148572
45.425663	3.2063515	7.6788802
45.435658	2.9890435	7.2137713
45.445652	2.7636619	6.7612638
45.455647	2.5254977	6.3030286
45.465641	2.2859879	5.8150077
45.475636	2.0565698	5.3361516
45.48563	1.8311883	4.865315
45.495625	1.6091707	4.4036427
45.505619	1.3952266	3.9373879
45.515614	1.1853192	3.486026
45.525608	0.98213941	3.0529935
45.535603	0.77963245	2.6096509
45.545597	0.60941899	2.1743271
45.555592	0.46409845	1.7538961
45.565586	0.3514843	1.3495034
45.575581	0.24749134	0.97947824
45.585575	0.17658706	0.61403549
45.59557	6.9217704e-002	0.27723244
45.605564	-5.1657222e-002	-6.9811091e-002
45.615559	-0.43454036	-0.35935545
45.625553	-0.54731196	-0.64317757
45.635548	-0.62024206	-0.90639973
45.645542	-0.66481054	-1.1249886
45.655537	-0.71072942	-1.3332773
45.665531	-0.74516869	-1.5232551
45.675526	-0.78501016	-1.6754662
45.68552	-0.82282573	-1.8150884
45.695515	-0.8457852	-1.9112216
45.705509	-0.85861552	-1.9833217
45.715504	-0.87414694	-2.0210884
45.725498	-0.8890031	-2.0405438
45.735493	-0.78906184	-2.0485549
45.745487	-0.61619043	-2.0268104
45.755482	-0.5736478	-1.9833217
45.765476	-0.52435249	-1.9066439
45.775471	-0.46357736	-1.7796106
45.785465	-0.40955505	-1.6251106
45.79546	-0.34742939	-1.4374218
45.805454	-0.30015984	-1.2153996
45.815449	-0.24613754	-0.96591085
45.825443	-0.18873885	-0.69009978
45.835438	-8.3395332e-002	-0.40513322
45.845432	0.10433222	-8.4688865e-002
45.855427	0.4324778	0.24744713
45.865421	0.51321143	0.60257959
45.875416	0.5892356	0.98635179
45.88541	0.70091718	1.3907446
45.895405	0.82538152	1.7997197
45.905399	0.98281217	2.2338977
45.915394	1.1348606	2.6749494
45.925388	1.3084379	3.1274569
45.935383	1.5048897	3.5788188
45.945377	1.7201796	4.0427823
45.955372	1.9381603	4.5147648
45.965366	2.1709423	4.9741459
45.975361	2.4010332	5.4346724
45.985355	2.6304514	5.9135284
45.99535	2.8632336	6.3797832
46.005344	3.0899603	6.8437462
46.015339	3.3139963	7.2951083
46.025333	3.5333226	7.7350144
46.035328	3.7681231	8.1703377
46.045322	3.9854312	8.604516
46.055317	4.19803	9.0169277
46.065311	4.3958273	9.4201756
46.075306	4.5821872	9.7844725
46.0853	4.768548	10.141896
46.095295	4.9454889	10.502756
46.105289	5.1264668	10.829249
46.115284	5.2764964	11.137412
46.125278	5.4231625	11.403189
46.135273	5.5516639	11.65751
46.145267	5.6680551	11.885482
46.155262	5.7750273	12.093979
46.165257	5.8826723	12.263526
46.175251	5.9634056	12.419326
46.185246	6.0353928	12.554505
46.19524	6.0932522	12.646152
46.205235	6.1194906	12.705723
46.215229	6.1390014	12.735509
46.225224	6.1067076	12.763002
46.235218	5.8712349	12.745819
46.245213	5.7508073	12.720615
46.255207	5.7097673	12.658754
46.265202	5.6539264	12.56367
46.275196	5.5913582	12.43651
46.285191	5.506588	12.28071
46.295185	5.4278722	12.120327
46.30518	5.328301	11.926723
46.315174	5.2179651	11.704479
46.325169	5.0955186	11.460468
46.335163	4.9522166	11.188964
46.345158	4.800168	10.889965
46.355152	4.6319733	10.561181
46.365147	4.4536867	10.196884
46.375141	4.2713628	9.8108206
46.385136	4.0668378	9.4075737
46.39513	3.8656764	9.0043268
46.405125	3.6443317	8.5770216
46.415119	3.4276962	8.1336794
46.425114	3.2036605	7.6811714
46.435108	2.9863522	7.2309551
46.445103	2.7508793	6.7475171
46.455097	2.51877	6.2812624
46.465092	2.2987704	5.8195901
46.475086	2.0599337	5.332715
46.485081	1.8311883	4.8630238
46.495075	1.6118618	4.4116616
46.50507	1.3958994	3.9637365
46.515064	1.1799368	3.4974821
46.525059	0.98146665	3.0312274
46.535053	0.79241532	2.5959039
46.545048	0.60000008	2.1663082
46.555042	0.45669788	1.7561873
46.565037	0.34675732	1.3529401
46.575031	0.24411495	0.98749739
46.585026	0.17793761	0.60945314
46.59502	6.989298e-002	0.25317508
46.605015	-5.3007782e-002	-4.9211096e-002
46.615009	-0.40347755	-0.35019991
46.625004	-0.55609059	-0.62829983
46.634998	-0.62024206	-0.89152193
46.644993	-0.66481054	-1.1272775
46.654987	-0.6978991	-1.3241218
46.664982	-0.7384159	-1.5015106
46.674976	-0.77555627	-1.6640217
46.684971	-0.81404716	-1.7876217
46.694965	-0.83700657	-1.8883327
46.70496	-0.86131662	-1.9695883
46.714954	-0.87414694	-2.0245216
46.724949	-0.88157505	-2.0542772
46.734943	-0.73436421	-2.056566
46.744938	-0.61011291	-2.0313883
46.754932	-0.57027143	-1.9787439
46.764927	-0.52570301	-1.8951994
46.774921	-0.46357736	-1.7773217
46.784916	-0.40887979	-1.628544
