3251 Stem                     $Display Series as a Vertical Stem Plot
3018 Line Style               $Change Line Style
3183 Waterfall                $Display Array as a Waterfall Plot
3252 Z Surface                $Display Array as a 3D Surface
3184 3D Bar Graph             $Display Array as a 3D Bar Graph
3185 Contour Plot             $Display Array as a 2D Contour Plot
3186 Density                  $Display Array as an Image
3187 Matrix                   $Display Array as Separate Series

3336 Set Like                 $Set Target Window Like Source Window

3250 Colors                   $Set Default Window Colors
3032 Graphical Settings       $Graphical Settings for Window
3031 Grids                    $Grid Related Attributes
3189 Axis                     $Axis, Range/Span
3190 Label Orientation        $Axis Label Orientation
3191 Rotation Rules           $Axis Label Rotation Rules

3034 Data Settings            $Units, Deltax, Offsets, etc.
3035 Overplot                 $Overplot a New Series on Top of Original
3036 Overlay                  $Overlay a Series with Scaling
3245 Load & Overlay           $Load a Series and Overlay
3037 Remove 1 Overlay         $Remove a Specified Overlay
3038 Remove All Overlays      $Clear Overlays

2075 Vertical Cursor          $Display Vertical Data Cursor
2076 Crosshair Cursor         $Display Crosshair Data Cursor
3302 Cursor Settings          $Set Cursor Attributes

3300 Properties               $Window and Series Properties

2039 Add Text                 $Add Text Annotations to Current Window
2043 Delete Text              $Remove Text Annotations from Curent Window
2044 Move Text                $Move Text Annotations in Current Window
2045 Edit Text                $Edit Text Annotations in Current Window

2040 Add Line                 $Add Lines Annotations to Current Window
2046 Delete Line              $Remove Lines from Curent Window
2047 Move Line                $Move a Lines in Current Window
2048 Copy Line                $Edit Lines in Current Window

3196 Add Legend               $Add Legend to Current Window
2043 Delete Legend            $Remove Legend from Curent Window
2044 Move Legend              $Move Legend in Current Window
2045 Edit Legend              $Edit Legend in Current Window
3303 Text & Drawing Settings  $Change Text, Legend and Line Settings

2084 New SPL File             $Create a New SPL Source File
2088 Open SPL File            $Open an Existing SPL Source File
2087 Read SPL File            $Load SPL Functions from File
2097 List SPL Functions       $Display a List of Current SPL Functions
3226 Save SPL Functions       $Save Current SPL Functions to a File
2140 Reset SPL Functions      $Initialize SPL Functions to Default Settings


3218 List Variables           $Display a List of Current Variables
3219 Delete Variable          $Delete a Variable

2066 New Macro File           $Create a New Macro File
2070 Open Macro File          $Open an Existing Macro File
2069 Read Macro File          $Load Macros from File
2096 List Macros              $Display a List of Current Macros
3227 Save Macros              $Save Current Macros to a File
2139 Reset Macros             $Initialize Macros to Default Settings

2066 New Command File         $Create a New Command File
3198 Load Command File        $Run a Command File
3199 Edit Command File        $Change a Command File

3246 View Text File           $Display an ASCII text file
3041 Modules                  $Display Module List
2010 Fonts                    $Change Font Settings

3200 Add Toolbar Button       $Add a Button to the Toolbar
3201 Remove Toolbar Button    $Remove a Button from the Toolbar

2124 Add Files to Worksheet   $Add Files to Worksheet Document
3320 Misc Tools               $Miscellaneous Tools

3253 System Preferences       $Change System Preferences
3254 Print Preferences        $Change Print Preferences
3301 Settings & Colors        $Change Settings and/or Colors
3209 Restore Defaults         $Restore Default Preferences & Settings

2104 Edit Table               $Edit Series in a Table
2031 Import                   $Import a Dataset

2066 New Header File          $Create a Dataset Header File for Importing
3051 Edit Header File         $Change an Existing Header File
3280 Single Channel Header    $Create a Single Channel Header File
3281 Multi-Channel Header     $Create a Multiple Channel Header File

2018 Add Windows              $Add One or More Windows to Worksheet
2019 Remove Windows           $Remove One or More Windows from Worksheet

2037 Clear Window             $Clear Data and Formula from Window
